id,order_date,client_id,quantity,price
1,2023-05-01,1,1,750
2,2023-05-01,2,4,12000
3,2023-05-01,1,2,2750
4,2023-05-01,3,4,9500
5,2023-05-01,4,4,10000
6,2023-05-01,2,1,750
7,2023-05-02,1,2,3300
8,2023-05-02,5,4,10500
9,2023-05-02,5,3,5925
10,2023-05-02,6,3,4800
11,2023-05-03,6,1,625
12,2023-05-06,4,3,6450
13,2023-05-06,7,1,750
14,2023-05-06,3,1,750
15,2023-05-07,2,3,6375
16,2023-05-07,2,1,600
17,2023-05-07,1,1,600
18,2023-05-07,8,6,23850
19,2023-05-07,9,4,9500
20,2023-05-07,10,2,2500
21,2023-05-08,1,3,5250
22,2023-05-08,11,2,3000
23,2023-05-08,9,3,5925
24,2023-05-08,5,3,6300
25,2023-05-08,12,1,750
26,2023-05-08,3,5,14375
27,2023-05-09,13,1,625
28,2023-05-09,14,3,6375
29,2023-05-09,2,1,625
30,2023-05-09,15,5,18125
31,2023-05-09,16,4,10400
32,2023-05-10,16,1,625
33,2023-05-10,9,1,750
34,2023-05-13,1,3,5925
35,2023-05-13,7,1,900
36,2023-05-13,8,2,2500
37,2023-05-14,17,4,11100
38,2023-05-14,9,2,2000
39,2023-05-14,18,6,25650
40,2023-05-14,5,5,15750
41,2023-05-14,8,5,16875
42,2023-05-14,2,2,3000
43,2023-05-15,15,4,10100
44,2023-05-15,19,4,10500
45,2023-05-15,20,1,625
46,2023-05-15,14,3,6000
47,2023-05-15,4,6,24750
48,2023-05-15,9,4,11500
49,2023-05-15,15,3,5625
50,2023-05-16,21,1,750
51,2023-05-16,22,4,10000
52,2023-05-16,23,2,2800
53,2023-05-16,15,1,750
54,2023-05-16,1,5,16875
55,2023-05-17,8,1,500
56,2023-05-17,10,2,2000
57,2023-05-20,24,1,600
58,2023-05-20,14,2,2200
59,2023-05-20,23,3,6450
60,2023-05-21,25,2,2500
61,2023-05-21,4,3,7200
62,2023-05-21,26,3,4875
63,2023-05-21,7,5,16875
64,2023-05-21,1,5,17000
65,2023-05-21,27,1,625
66,2023-05-22,28,2,2500
67,2023-05-22,11,5,15000
68,2023-05-22,8,4,11000
69,2023-05-22,29,1,500
70,2023-05-22,30,4,10600
71,2023-05-22,31,6,23250
72,2023-05-22,24,2,2250
73,2023-05-23,17,3,5475
74,2023-05-23,8,4,11000
75,2023-05-23,32,4,11700
76,2023-05-23,33,4,10000
77,2023-05-23,16,1,625
78,2023-05-24,34,1,500
79,2023-05-24,24,2,2500
80,2023-05-27,11,1,625
81,2023-05-27,4,4,9900
82,2023-05-27,35,3,5625
83,2023-05-27,36,3,6375
84,2023-05-28,37,7,33425
85,2023-05-28,38,6,26400
86,2023-05-28,39,4,11100
87,2023-05-28,40,1,750
88,2023-05-28,41,2,3050
89,2023-05-28,18,1,750
90,2023-05-28,42,5,17625
91,2023-05-29,40,4,10500
92,2023-05-29,43,1,500
93,2023-05-29,26,6,22500
94,2023-05-29,1,6,23850
95,2023-05-29,44,5,15500
96,2023-05-29,45,3,5925
97,2023-05-29,46,1,750
98,2023-05-29,13,6,25650
99,2023-05-30,10,4,11600
100,2023-05-30,47,2,2500
101,2023-05-30,44,1,750
102,2023-05-30,39,3,6000
103,2023-05-30,31,1,750
104,2023-05-31,48,1,625
105,2023-05-31,49,1,500
106,2023-06-03,38,1,625
107,2023-06-03,50,4,11100
108,2023-06-03,51,3,6825
109,2023-06-03,25,2,2500
110,2023-06-04,35,2,2700
111,2023-06-04,52,4,9500
112,2023-06-04,44,4,9500
113,2023-06-04,17,2,3050
114,2023-06-04,24,7,36050
115,2023-06-04,53,7,31500
116,2023-06-04,54,2,2250
117,2023-06-05,28,6,23850
118,2023-06-05,55,7,32375
119,2023-06-05,50,3,5625
120,2023-06-05,2,3,6000
121,2023-06-05,11,5,15000
122,2023-06-05,9,8,41000
123,2023-06-05,56,1,500
124,2023-06-05,10,8,42000
125,2023-06-06,57,3,6075
126,2023-06-06,35,5,15000
127,2023-06-06,2,5,15000
128,2023-06-06,58,1,900
129,2023-06-06,59,4,11000
130,2023-06-06,60,2,3300
131,2023-06-07,49,2,2500
132,2023-06-07,55,1,900
133,2023-06-10,50,4,10500
134,2023-06-10,17,2,3000
135,2023-06-10,61,4,9900
136,2023-06-10,27,1,600
137,2023-06-11,53,5,17000
138,2023-06-11,62,5,16125
139,2023-06-11,52,5,15000
140,2023-06-11,63,3,6075
141,2023-06-11,64,7,35175
142,2023-06-11,40,5,14875
143,2023-06-11,65,6,26400
144,2023-06-12,23,8,42800
145,2023-06-12,66,8,41000
146,2023-06-12,53,8,41000
147,2023-06-12,67,6,23250
148,2023-06-12,68,3,6000
149,2023-06-12,3,5,16250
150,2023-06-12,69,3,4500
151,2023-06-12,70,4,9000
152,2023-06-13,17,4,11000
153,2023-06-13,28,3,5925
154,2023-06-13,67,6,24000
155,2023-06-13,64,5,14750
156,2023-06-13,71,6,23100
157,2023-06-13,72,5,17375
158,2023-06-14,45,2,2200
159,2023-06-14,11,2,2750
160,2023-06-17,50,4,8500
161,2023-06-17,39,2,2500
162,2023-06-17,56,3,6000
163,2023-06-17,73,2,3000
164,2023-06-18,74,5,17625
165,2023-06-18,75,8,36800
166,2023-06-18,76,8,40000
167,2023-06-18,30,6,23250
168,2023-06-18,77,2,3050
169,2023-06-18,78,5,15625
170,2023-06-18,3,4,10500
171,2023-06-18,50,7,33425
172,2023-06-19,79,8,42200
173,2023-06-19,40,7,33950
174,2023-06-19,80,7,30625
175,2023-06-19,40,3,5625
176,2023-06-19,21,8,44200
177,2023-06-19,65,3,6375
178,2023-06-19,8,7,30625
179,2023-06-19,22,8,38000
180,2023-06-19,81,9,58725
181,2023-06-20,3,5,15500
182,2023-06-20,70,6,21600
183,2023-06-20,82,2,3300
184,2023-06-20,83,1,750
185,2023-06-20,51,2,2250
186,2023-06-20,53,5,16750
187,2023-06-21,24,2,2500
188,2023-06-21,27,2,3300
189,2023-06-23,1,1,750
190,2023-06-24,42,4,10500
191,2023-06-24,23,3,6750
192,2023-06-24,51,3,6000
193,2023-06-24,84,2,2750
194,2023-06-25,85,8,44000
195,2023-06-25,86,2,3000
196,2023-06-25,87,7,32550
197,2023-06-25,88,1,625
198,2023-06-25,89,4,8000
199,2023-06-25,90,4,9400
200,2023-06-25,4,3,6750
201,2023-06-25,91,7,36050
202,2023-06-26,92,6,23250
203,2023-06-26,52,2,2000
204,2023-06-26,9,6,25500
205,2023-06-26,93,8,44200
206,2023-06-26,94,2,2750
207,2023-06-26,95,1,750
208,2023-06-26,47,2,2000
209,2023-06-26,15,4,11100
210,2023-06-26,96,8,44200
211,2023-06-27,73,4,12100
212,2023-06-27,88,1,750
213,2023-06-27,97,2,2500
214,2023-06-27,19,6,21600
215,2023-06-27,98,3,6375
216,2023-06-27,54,2,3000
217,2023-06-28,66,1,900
218,2023-06-28,99,2,2500
219,2023-06-30,33,1,625
